date,CHFEUR,CHFJPY,CHFSEK,CHFAUD,USDCHF,USDGBP,USDCAD,USDEUR,USDJPY,USDSEK,USDAUD
2017-09-10,9,41,37,0,13,16,56,24,69,20,30
2017-09-17,19,28,0,0,17,12,34,33,53,30,37
2017-09-24,5,34,0,0,13,10,52,14,64,30,22
2017-10-01,5,21,0,0,9,20,48,24,47,0,15
2017-10-08,0,14,37,0,15,8,39,29,42,20,44
2017-10-15,5,55,0,0,9,8,43,9,53,0,58
2017-10-22,14,14,0,0,19,6,39,23,50,39,22
2017-10-29,5,41,37,0,22,8,68,38,57,10,22
2017-11-05,0,20,0,0,16,4,35,23,57,20,57
2017-11-12,4,26,0,0,18,4,36,14,55,19,14
2017-11-19,0,13,0,0,6,10,36,18,51,19,29
2017-11-26,4,0,0,0,15,10,55,64,55,0,14
2017-12-03,5,0,0,0,14,10,78,83,55,19,50
2017-12-10,9,0,0,0,18,6,49,69,44,29,72
2017-12-17,13,0,0,0,18,8,55,85,57,69,81
