This file was downloaded on February 26 2018 4:12:17 AM UTC-08:00
Keywords,footwear
Date Range,2015-02-24 - 2018-02-24
Site: ,ebay.com.au
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Clothing, Shoes, Accessories

Date,Items Sold,Average Selling Price,Total Sales
2015-12-10,23,25.29 USD,581.65 USD
2015-12-11,20,32.24 USD,644.79 USD
2015-12-12,19,26.67 USD,506.72 USD
2015-12-13,28,33.63 USD,941.57 USD
2015-12-14,25,15.06 USD,376.43 USD
2015-12-15,19,30.85 USD,586.22 USD
2015-12-16,33,24.79 USD,817.98 USD
2015-12-17,13,30.41 USD,395.39 USD
2015-12-18,22,30.19 USD,664.28 USD
2015-12-19,8,27.54 USD,220.34 USD
2015-12-20,21,34.78 USD,730.29 USD
2015-12-21,16,18.08 USD,289.25 USD
2015-12-22,16,21.82 USD,349.18 USD
2015-12-23,7,22.61 USD,158.25 USD
2015-12-24,10,19.50 USD,195.04 USD
2015-12-25,11,40.90 USD,449.92 USD
2015-12-26,9,33.45 USD,301.04 USD
2015-12-27,12,30.98 USD,371.70 USD
2015-12-28,10,21.44 USD,214.43 USD
2015-12-29,13,26.12 USD,339.52 USD
2015-12-30,11,29.42 USD,323.60 USD
2015-12-31,9,19.38 USD,174.46 USD
2016-01-01,10,20.34 USD,203.44 USD
2016-01-02,23,32.81 USD,754.66 USD
2016-01-03,18,25.95 USD,467.11 USD
2016-01-04,17,30.71 USD,522.10 USD
2016-01-05,28,25.07 USD,701.87 USD
2016-01-06,19,21.37 USD,406.06 USD
2016-01-07,18,27.67 USD,498.14 USD
2016-01-08,8,25.05 USD,200.36 USD
2016-01-09,8,24.58 USD,196.60 USD
2016-01-10,21,32.67 USD,686.06 USD
2016-01-11,22,24.83 USD,546.16 USD
2016-01-12,20,36.89 USD,737.73 USD
2016-01-13,13,33.31 USD,433.03 USD
2016-01-14,18,35.86 USD,645.55 USD
