,date,beer,beer_sales,beer_weighting,scotch,scotch_sales,scotch_weighting,vodka,vodka_sales,vodka_weighting,whiskey,whiskey_sales,whiskey_weighting,wine,wine_sales,wine_weighting
136,2015-09-10,28.68,28.68,1.0,94.52,94.52,1.0,42.86,85.72,2.0,234.78,234.78,1.0,34.75,1841.5,52.992805755395686
137,2015-09-11,9.45,66.14,6.998941798941799,456.51,1369.53,3.0,41.5,124.5,3.0,135.73,135.73,1.0,26.71,1228.74,46.00299513290902
138,2015-09-12,9.88,9.88,1.0,137.14,1097.08,7.999708327256818,39.53,39.53,1.0,57.96,57.96,1.0,24.2,968.01,40.0004132231405
139,2015-09-13,14.81,103.66,6.999324780553679,180.0,360.0,2.0,62.59,500.73,8.0001597699313,79.37,238.1,2.9998740078115156,35.39,1805.12,51.00649901102006
140,2015-10-09,30.23,60.46,2.0,133.77,535.09,4.000074755176796,41.38,165.53,4.000241662638956,116.71,116.71,1.0,37.77,1095.42,29.002382843526608
141,2015-10-10,13.2,52.79,3.9992424242424245,121.89,243.78,2.0,56.0,56.0,1.0,71.88,71.88,1.0,31.26,875.4,28.003838771593088
142,2015-10-11,12.25,61.25,5.0,67.5,134.99,1.999851851851852,56.24,112.48,2.0,110.96,332.88,3.0,26.75,1524.82,57.00261682242991
143,2015-10-12,26.92,134.62,5.00074294205052,194.94,974.7,5.0,62.36,187.08,3.0000000000000004,362.6,362.6,1.0,29.26,1287.52,44.00273410799726
144,2015-10-13,10.31,10.31,1.0,293.47,293.47,1.0,48.35,96.7,2.0,67.57,135.14,2.0,31.27,1094.48,35.000959385992964
145,2015-10-14,16.51,66.05,4.000605693519079,89.42,268.25,2.9998881681950347,247.08,247.08,1.0,2.79,2.79,1.0,129.78,5450.55,41.99838187702265
146,2015-10-16,13.53,40.58,2.9992609016999263,167.87,671.48,4.0,57.61,345.67,6.000173580975526,89.1,267.29,2.9998877665544335,53.46,1550.31,28.999438832772164
147,2015-10-17,9.15,45.73,4.997814207650273,90.76,90.76,1.0,66.77,267.06,3.9997004642803655,258.17,1549.04,6.000077468334817,33.62,975.09,29.003271861986917
148,2015-10-18,25.62,51.23,1.9996096799375487,29.27,29.27,1.0,49.16,245.79,4.99979658258747,184.11,368.22,2.0,42.37,847.44,20.000944064196368
149,2015-10-19,31.67,158.36,5.000315756236186,90.83,181.66,2.0,86.09,516.51,5.999651527471251,216.79,216.79,1.0,53.3,1492.41,28.000187617260792
150,2015-10-20,9.14,91.39,9.99890590809628,200.73,802.93,4.000049818163703,49.39,98.77,1.999797529864345,72.97,145.94,2.0,38.72,1084.07,27.99767561983471
151,2015-10-21,25.26,227.32,8.999208234362628,55.46,166.38,3.0,47.96,335.72,7.000000000000001,133.69,133.69,1.0,33.24,1163.29,34.99669073405535
152,2015-10-22,15.0,75.01,5.000666666666667,162.87,651.48,4.0,110.08,550.4,5.0,55.17,110.34,2.0,44.04,1365.1,30.99682107175295
153,2015-10-23,31.05,124.18,3.9993558776167473,90.43,180.86,2.0,72.45,72.45,1.0,160.44,802.19,4.99993767140364,31.81,1208.75,37.999056900345806
154,2015-10-24,8.58,34.3,3.997668997668997,65.59,393.54,6.0,56.92,170.75,2.9998243148278285,210.44,841.75,3.999952480517012,29.24,1111.16,38.00136798905609
155,2015-10-25,50.58,303.48,6.000000000000001,62.46,124.92,2.0,82.54,412.7,4.999999999999999,115.01,230.01,1.99991305103904,45.24,1583.23,34.996242263483644
156,2015-10-26,8.06,24.19,3.001240694789082,153.2,612.81,4.000065274151436,49.05,98.09,1.999796126401631,204.5,613.49,2.9999511002444987,61.23,1347.12,22.000979911807935
157,2015-10-27,9.19,55.16,6.002176278563656,101.17,202.33,1.9999011564693092,103.74,518.69,4.999903605166764,68.73,206.18,2.9998545031281827,42.86,1800.18,42.00139990667289
158,2015-10-28,15.76,78.79,4.999365482233503,104.04,208.08,2.0,137.29,274.58,2.0,58.95,117.89,1.9998303647158608,41.71,1167.74,27.9966434907696
159,2015-10-29,21.3,63.91,3.0004694835680747,75.98,227.94,3.0,95.89,1246.56,12.999895713838773,143.14,429.41,2.9999301383261145,37.41,1421.68,38.00267308206362
160,2015-10-30,10.96,65.78,6.001824817518248,99.77,99.77,1.0,101.1,505.49,4.999901088031653,93.93,563.58,6.0,65.57,3409.72,52.001220070154034
